原料名稱,英文名稱,類型,財富藥膏,驅邪藥膏,無毒飛天藥膏#2,"《房間之主》
語氣膏"
,,,,,,
蜜蠟,,藥膏基底,5g,5g,5g,5g
荷荷巴油,Jojoba,基底油,20ml,20ml,20ml,20ml
羅勒,Basil,精油,1,,,
丁香,Clove,精油,1,1,,
廣藿香,Patchouli,精油,4,,,
岩蘭草,Vetiver,精油,"3
(橡木苔特調配方)",,,5
肉桂,Cinnamon,精油,"3
(橡木苔特調配方)",,,
橡木苔,Oakmoss,精油,3,,,
檀香,Sandalwood,精油,,,2,
茉莉,Jasmine,精油,,,1,
安息香,,精油,,,1,
肉豆蔻皮,Mace,精油,,,1,
乳香,Frankincense,精油,,3,,
胡椒薄荷,Peppermint,精油,,2,,
松樹,Pine,精油,,1,,
龍延香,Ambergris oil,精油,,,,
羅馬洋甘菊,"Chamomile, Roman",,,,,3
檸檬馬鞭草,,,,,,"5
(或)"
苦橙葉,Petitgrain,,,,,"5
(或)"
西印度檀香 Amyris,,精油,,,,
歐白芷 Angelica,,精油,,,,
大茴香籽 Anise Seed,,精油,,,,
月桂 Bay Laurel,,精油,,,,
佛手柑 Bergamot,,精油,,,,
黑胡椒 Black Pepper,,精油,,,,
白千層 Cajeput,,精油,,,,
藏茴香 Caraway Seed,,精油,,,,
小荳蔻 Cardamom,,精油,,,,
野胡蘿蔔籽 Carrot Seed,,精油,,,,
兩種雪松精油,,,,,,
"大西洋雪松 Cedarwood, Atlas",,,,,,
"維吉尼亞雪松 Cedarwood, Virginia",,,,,,
兩種洋甘菊精油,,,,,,
"德國洋甘菊 Chamomile, German",,,,,,
肉桂葉 Cinnamon Leaf,,,,,,
香茅 Citronella,,,,,,
快樂鼠尾草,,,,,,
芫荽籽 Coriander,,,,,,
絲柏 Cypress,,,,,,
欖香脂 Elemi,,,,,,
兩種尤加利精油,,,,,,
"藍膠尤加利 Eucalyptus, Blue",,,,,,
"檸檬尤加利 Eucalyptus, Lemon",,,,,,
"甜茴香 Fennel, Sweet",,,,,,
冷杉 Fir Needle,,,,,,
天竺葵 Geranium,,,,,,
生薑 Ginger,,,,,,
葡萄柚 Grapefruit,,,,,,
永久花 Helichrysum,,,,,,
牛膝草 Hyssop,,,,,,
杜松漿果 Juniper Berry,,,,,,
薰衣草 Lavender,,,,,,
檸檬 Lemon,,,,,,
香蜂草 Lemon Balm,,,,,,
"東印度檸檬草 Lemongrass, East Indian",,,,,,
"西印度檸檬草 Lemongrass, West Indian",,,,,,
萊姆 Lime,,,,,,
柑橘 Mandarin,,,,,,
松紅梅 Manuka,,,,,,
甜馬鬱蘭 Marjoram,,,,,,
兩種薄荷精油,,,,,,
綠薄荷 Spearmint,,,,,,
沒藥 Myrrh,,,,,,
綠花白千層 Niaouli,,,,,,
柑橘類精油,,,,,,
橙花 Neroli,,,,,,
甜橙 Orange,,,,,,
玫瑰草 Palmarosa,,,,,,
羅文莎葉 Ravintsara,,,,,,
玫瑰 Rose,,,,,,
迷迭香 Rosemary,,,,,,
快樂鼠尾草 Clary Sage,,,,,,
西班牙鼠尾草 Spanish Sage,,,,,,
茶樹 Tea Tree,,,,,,
百里香 Thyme,,,,,,
伊蘭伊蘭 Ylang-Ylang,,,,,,
甜杏仁油,"Almond, Sweet",基底油,,,,
杏桃核仁油,Apricot,基底油,,,,
酪梨油,Avocado,基底油,,,,
琉璃苣油,Borage,基底油,,,,
椰子油 Coconut,,基底油,,,,
月見草油 Evening Primrose,,基底油,,,,
榛果油 Hazelnut,,基底油,,,,
橄欖油 Olive,,基底油,,,,
玫瑰果油 Rosehip Seed,,基底油,,,,
芝麻油 Sesame,,基底油,,,,
葵花油 Sunflower,,基底油,,,,
浸泡油,,基底油,,,,
金盞花油 Calendula,,基底油,,,,
